TICKER,FIGI,DATE,TYPE,FREQUENCY,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR,EX_DIVIDEND,SPLIT_RATIO
GOOGL,BBG000BLFQH8,04-01-2013,EOD,daily,211.47,218.05,209.32,217.83,13137450,38.5172195,39.60661389,38.45068144,39.3988488,248000,,0,1
GOOGL,BBG000BLFQH8,03-01-2013,EOD,daily,222.17,224.7,220.09,222.84,15292353,38.61702659,38.69188191,38.37582613,38.65861288,131300,,0,1
GOOGL,BBG000BLFQH8,02-01-2013,EOD,daily,223.22,226,220.97,225.85,10815661,37.74371456,38.70851643,37.56073489,38.60039208,184900,,0,1
GOOGL,BBG000C3C6S2,05-06-2018,Intraday,daily,228.66,235.49,226.85,233.06,17759521,18.86,18.91,18.87,18.87,10000,,0,1
GOOGL,BBG000C3C6S2,04-06-2018,EOD,daily,233.44,236.94,230.7,233.68,12795837,18.86,18.89,18.79,18.81,39095,,0,1
GOOGL,BBG000C3C6S2,01-06-2018,EOD,daily,232.44,235.36,231.25,235.11,9104719,18.58,18.76,18.58,18.74,17468,,0,1
GOOGL,BBG000C3C6S2,31-05-2018,EOD,daily,235.87,237.79,234.82,236.05,9008664,18.52,18.52,18.3012,18.49,22384,,0,1
GOOGL,BBG000C3C6S2,30-05-2018,EOD,daily,237.1,237.73,230.98,232.05,10125212,18.47,18.678,18.47,18.65,22633,,0,1
GOOGL,BBG000C3C6S2,29-05-2018,EOD,daily,232.39,233.68,231.04,233.36,7660220,18.51,18.51,18.15,18.2562,67412,,0,1
GOOGL,BBG000C3C6S2,25-05-2018,EOD,daily,231.76,235.18,231.5,233.79,8335300,18.76,18.88,18.76,18.842,8775,,0,1
GOOGL,BBG000C3C6S2,24-05-2018,EOD,daily,223.87,228.91,221.85,222.68,20511176,18.78,18.78,18.6399,18.75,12043,,0,1
GOOGL,BBG000C3C6S2,23-05-2018,EOD,daily,225.81,226.97,216.72,218.44,14539830,18.83,18.91,18.81,18.91,27602,,0,1
GOOGL,BBG000C3C6S2,22-05-2018,EOD,daily,219.57,220.24,197.57,199.93,41182889,19.26,19.26,19.16,19.18,10295,,0,1
GOOGL,BBG000C3C6S2,21-05-2018,EOD,daily,203.89,214.41,203.07,213.96,22768073,19.31,19.31,19.15,19.15,8339,,0,1
GOOGL,BBG000C3C6S2,18-05-2018,EOD,daily,218.23,222.7,217.46,221.74,15468453,19.14,19.1795,19.06,19.16,34933,0.964034858,0.7148,1
GOOGL,BBG000C3C6S2,17-05-2018,EOD,daily,225.86,227.34,214.82,216.72,18746567,19.0107674,19.07824984,18.94328496,19.07824984,19532,,0,1
GOOGL,BBG000C3C6S2,16-05-2018,EOD,daily,219.99,220.22,211.99,217.35,12931382,18.79867974,18.90472357,18.76011834,18.89508322,19226,,0,1
GOOGL,BBG000C3C6S2,15-05-2018,EOD,daily,217.72,219.33,214.7,216.96,8459747,18.79867974,18.90472357,18.79867974,18.84688148,10043,,0,1
GOOGL,BBG000C3C6S2,14-05-2018,EOD,daily,214.83,216.86,212.71,213.62,8596167,19.02040775,19.03978485,19.02040775,19.03486828,9125,,0,1
GOOGL,BBG000C3C6S2,11-05-2018,EOD,daily,215.5,220.02,212.2,216.55,22449604,19.07824984,19.12645159,18.94328496,19.00112706,43851,,0,1
GOOGL,BBG000C3C6S2,10-05-2018,EOD,daily,194.71,201.2,193.95,201.09,27132792,18.95292531,19.05896915,18.95292531,19.05896915,8193,,0,1
GOOGL,BBG000C3C6S2,09-05-2018,EOD,daily,202.11,203.45,198.19,198.22,11810931,18.84688148,18.90665164,18.84688148,18.90472357,4467,,0,1
GOOGL,BBG000C3C6S2,08-05-2018,EOD,daily,197.01,197.15,186.47,190.97,18286547,18.6926359,18.84688148,18.61262101,18.78903939,11842,,0,1
GOOGL,BBG000C3C6S2,07-05-2018,EOD,daily,192.85,195.14,189.97,192.74,8948485,18.6733552,18.93075251,18.6733552,18.91436392,7922,,0,1
GOOGL,BBG000C3C6S2,04-05-2018,EOD,daily,191.69,192.04,181.85,184.14,16640139,18.72155695,18.82037052,18.70227625,18.81796043,15758,,0,1
GOOGL,BBG000C3C6S2,03-05-2018,EOD,daily,184.42,185.53,177.51,184.72,20818364,18.6926359,18.74083764,18.623611,18.72155695,2262,,0,1
GOOGL,BBG000C3C6S2,02-05-2018,EOD,daily,185.79,187.39,178.23,179.56,11913420,18.6926359,18.76011834,18.57695172,18.58659207,54320,,0,1
GOOGL,BBG000C3C6S2,01-05-2018,EOD,daily,181.16,182.43,176.75,181.49,15223458,18.57695172,18.57695172,18.46126753,18.49982893,85972,,0,1
GOOGL,BBG000C3C6S2,30-04-2018,EOD,daily,173.49,175.48,171.12,173.02,19724806,18.53839032,18.59623241,18.49982893,18.57695172,21383,,0,1
GOOGL,BBG000C3C6S2,27-04-2018,EOD,daily,172.84,176.02,171.37,171.83,14658822,18.70227625,18.70227625,18.54793427,18.62515346,17828,,0,1
GOOGL,BBG000C3C6S2,26-04-2018,EOD,daily,170.81,173.17,169.08,171.36,12950205,18.53839032,18.66371485,18.53839032,18.64443416,25240,,0,1
GOOGL,BBG000C3C6S2,25-04-2018,EOD,daily,173.01,183.68,172.42,183.41,21346655,18.6733552,18.6926359,18.56596172,18.65407451,21625,,0,1
GOOGL,BBG000C3C6S2,24-04-2018,EOD,daily,185.11,186.26,181.99,184.56,14320187,18.90154225,18.90472357,18.77939904,18.83724113,12373,,0,1
GOOGL,BBG000C3C6S2,23-04-2018,EOD,daily,183.4,186.96,182.74,183.48,8690747,18.93403023,18.94328496,18.83724113,18.93364462,10899,,0,1
GOOGL,BBG000C3C6S2,20-04-2018,EOD,daily,183.76,184.66,182.11,182.93,6480739,19.0300481,19.03968845,18.97220601,18.98541329,12835,,0,1
GOOGL,BBG000C3C6S2,19-04-2018,EOD,daily,182.99,190.81,182.88,189.22,12555816,19.10717089,19.15537263,19.05896915,19.15537263,22877,,0,1
GOOGL,BBG000C3C6S2,18-04-2018,EOD,daily,188.84,190.23,186.93,188.89,6486245,19.0107674,19.14573228,19.0107674,19.02040775,20799,,0,1
GOOGL,BBG000C3C6S2,17-04-2018,EOD,daily,190.83,196.05,190.33,195.38,10218579,18.93364462,18.99630688,18.90472357,18.96256566,47373,,0,1
